   X   Y  Sig11  Sig22  Sig33  Sig23  Sig13  Sig12
           2          67   12.735865847113159        32.784550124687470        46.291406281905061        5.6734056273063551        1.7882098440183036      -8.27270439020266340E-002
           2          68   13.974319928469898        34.549617443988133        46.808573619909573        5.1855431540451509        1.7855400119713749       0.25847168799251863     
           2          69   15.194208606035971        36.123545733558402        47.577906465723579        4.5004649630535187        1.7018953594974964       0.63659564242365319     
           2          70   16.344686795456632        37.427640479377814        48.668835014654910        3.7455295491049383        1.5753616909165868        1.0181295878417138     
           2          71   17.424355379205174        38.551521895360615        50.152048178863176        3.1150803396881845        1.4001268747575599        1.4106734558238214     
           2          72   18.429371161530419        39.789935490238214        52.005103040018270        2.8531279282471997        1.0825941818313529        1.8211594501771369     
           2          73   19.373506766334682        41.732888836966239        53.981931047564096        3.0902461440332516       0.42406163427459742        2.1645826135527271     
           2          74   20.242610125363829        45.037054205054659        55.528603391619910        3.4540152791954344      -0.79497458619893846        2.0692136454225629     
           2          75   21.054961964635087        49.095051249476491        56.163694942880468        2.7660415961548992       -2.3717154708429375       0.73454867464823703     
           2          76   22.038199558434929        50.865243573041916        56.241285720453511       0.48170073205095715       -3.1018683985473201       -1.7849082780856897     
           2          77   22.645412396231432        48.876829473662504        56.418333021678293       -1.7728711750996975       -2.3044023407333931       -3.4895477155274954     
           2          78   21.917634363126954        45.429409395056105        56.698972252578479       -2.5116905453718621       -1.0863647289270391       -3.3577699001339711     
           2          79   20.312190889956980        42.997376832944859        56.530302246875188       -1.9724056396414484      -0.32894806390192777       -2.1998171817249283     
           2          80   18.860803195244731        41.898820008532695        55.575187934600571       -1.2560154777957084      -2.92908680402761620E-002 -0.67456850190036499     
           2          81   18.059356948652226        41.122954833446869        54.010572823612378       -1.0123926283078635      -0.24954032946078267       0.65724646488810634     
           2          82   17.613789116279516        40.208489669239128        52.219350614344755       -1.0397192780628044      -0.77032927394722328        1.2036838620202019     
           2          83   17.196172171723429        39.524873338103440        50.383461421438504       -1.1835589074483190       -1.1488118578452102        1.0788870361390441     
           2          84   16.778792309891543        39.187289110284674        48.642174717593065       -1.5296673116136064       -1.2455639560336933       0.69492375256890082     
           2          85   16.400085590610303        39.055576955803112        47.102766455193986       -2.0971726374251536       -1.1149374551337798       0.30603761841012611     
           2          86   16.074198242916946        39.002533935761747        45.806903450322885       -2.8372085123244095      -0.84004304220195969       2.75254137192965098E-002
           2          87   15.803453647731747        38.968280643926441        44.750808452027080       -3.6973871766916990      -0.49330173246177883      -9.77836775890393722E-002
           2          88   15.609166595292615        38.951171509142895        43.938420947573654       -4.6069433060735854      -0.14556661617405595      -7.05661539867587784E-002
           2          89   15.521807814136716        38.987597827416643        43.326855161536827       -5.5435836891330537       0.16045972451591795       7.41546810423317632E-002
           2          90   15.584621167678053        39.127792226295220        42.885213617269315       -6.5082731384878718       0.39818663786126318       0.29273978375862880     
           2          91   15.840475838395337        39.419941470915965        42.596594660733686       -7.5267728453330056       0.55206868967479483       0.54617824143251870     
