    KK    EPS_TOT    EPS_PLA    SIGMA    GAMMA    TAU    EPS_DOT    RHO_TOT    ALPHA    ZP_X    ZP_Y    ZP_Z    TIME
    4200   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    4400   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    4600   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    4800   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    5000   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    5200   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    5400   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    5600   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    5800   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    6000   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    6200   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    6400   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    6600   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    6800   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    7000   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    7200   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    7400   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
    7600   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.25477E+10  -0.9240236   0.0000000   0.0000000   1.0000000    0.000000000000000
